cod_municipio,nombre_municipio,nombre_departamento,cluster,cluster_nombre,total_atenciones,n_registros,pct_no_def,log_total_atenciones,ratio_consultas_proced,pct_CONSULTAS,pct_HOSPITALIZACIONES,pct_PROCEDIMIENTOS DE SALUD,pct_URGENCIAS
68547,PIEDECUESTA,Santander,3,Grandes centros urbanos,5870444.0,70589.0,31.19,6.768670949536837,0.742561909852129,41.68,0.59,56.12,1.62
68001,BUCARAMANGA,Santander,3,Grandes centros urbanos,52771886.0,152176.0,35.02,7.722402615586187,0.5631377551020408,35.32,0.5,62.71,1.47
73001,IBAGUE,Tolima,3,Grandes centros urbanos,24332997.0,135457.0,13.22,7.386195602576675,0.9398360983409956,47.02,0.69,50.02,2.27
73024,ALPUJARRA,Tolima,1,Alta carga NO DEFINIDO,191367.0,11127.0,36.99,5.281867048626103,0.5570703868103996,35.14,0.67,63.07,1.13
73026,ALVARADO,Tolima,1,Alta carga NO DEFINIDO,436392.0,17754.0,43.3,5.639876780441279,0.4670065986802639,31.14,0.57,66.67,1.61
73030,AMBALEMA,Tolima,1,Alta carga NO DEFINIDO,299656.0,16223.0,49.74,5.476622977980456,0.5494907702100573,34.53,1.15,62.83,1.49
73043,ANZOATEGUI,Tolima,1,Alta carga NO DEFINIDO,386293.0,15975.0,57.82,5.586916838383191,0.5174749807544264,33.61,0.94,64.94,0.51
73055,ARMERO,Tolima,1,Alta carga NO DEFINIDO,484246.0,16188.0,56.17,5.685066042018712,0.4702532594035665,31.38,0.82,66.72,1.08
73067,ATACO,Tolima,1,Alta carga NO DEFINIDO,751840.0,19698.0,58.51,5.876125427678876,0.3954770318021201,27.98,0.65,70.74,0.63
73124,CAJAMARCA,Tolima,1,Alta carga NO DEFINIDO,802624.0,24852.0,43.8,5.904512141831572,0.4761191795178918,31.8,0.83,66.78,0.59
73148,CARMEN DE APICALA,Tolima,2,Perfil quirúrgico medio,372953.0,21214.0,33.85,5.5716541049272985,0.7065993383249173,40.58,0.8,57.42,1.21
73152,CASABIANCA,Tolima,2,Perfil quirúrgico medio,255271.0,11442.0,48.97,5.407001479687337,0.7968664601931136,43.74,0.72,54.88,0.66
73168,CHAPARRAL,Tolima,1,Alta carga NO DEFINIDO,1667205.0,27645.0,53.73,6.221989004084134,0.4913050052926054,32.49,1.0,66.12,0.39
73200,COELLO,Tolima,5,Alta demanda de urgencias,127988.0,8964.0,29.12,5.10716925263155,0.5633289124668435,33.98,0.85,60.31,4.86
73217,COYAIMA,Tolima,1,Alta carga NO DEFINIDO,580458.0,14893.0,47.21,5.763770801114851,0.3673271442427601,26.51,0.68,72.16,0.64
73226,CUNDAY,Tolima,1,Alta carga NO DEFINIDO,315577.0,14313.0,51.19,5.499105343279215,0.6154606889731334,37.34,0.71,60.66,1.29
73236,DOLORES,Tolima,1,Alta carga NO DEFINIDO,196453.0,9563.0,44.63,5.293258665234858,0.5829437369014993,36.16,0.87,62.02,0.96
73268,ESPINAL,Tolima,5,Alta demanda de urgencias,4121541.0,60316.0,16.43,6.615059624447874,0.6834773408569916,38.76,0.68,56.7,3.85
73270,FALAN,Tolima,2,Perfil quirúrgico medio,169596.0,9745.0,32.57,5.229415605005521,0.6280853902601734,37.66,1.2,59.95,1.19
73275,FLANDES,Tolima,3,Grandes centros urbanos,733538.0,25544.0,27.23,5.865422616833483,0.5963678010471205,36.45,0.74,61.11,1.71
73283,FRESNO,Tolima,2,Perfil quirúrgico medio,798584.0,26193.0,21.68,5.9023206046545615,0.6008492569002123,36.79,1.22,61.22,0.77
73319,GUAMO,Tolima,1,Alta carga NO DEFINIDO,958427.0,26225.0,35.37,5.981559039796742,0.536723163841808,34.2,0.8,63.71,1.29
73347,HERVEO,Tolima,2,Perfil quirúrgico medio,90135.0,6050.0,26.08,4.95489346306892,0.8929327941459657,46.37,1.15,51.92,0.56
73352,ICONONZO,Tolima,5,Alta demanda de urgencias,384763.0,19789.0,30.77,5.5851933022732,0.6569797612869746,37.98,0.6,57.8,3.62
73408,LERIDA,Tolima,2,Perfil quirúrgico medio,1293671.0,34038.0,37.14,6.1118238427533615,0.6896016554578377,39.99,1.07,57.98,0.96
73411,LIBANO,Tolima,1,Alta carga NO DEFINIDO,2366798.0,40188.0,53.95,6.374161193616073,0.4125884221163562,28.58,0.47,69.26,1.69
73443,MARIQUITA,Tolima,3,Grandes centros urbanos,1856915.0,40981.0,26.79,6.268792024431305,0.7540719527474495,42.13,0.83,55.86,1.17
73449,MELGAR,Tolima,3,Grandes centros urbanos,1930001.0,52525.0,12.12,6.2855575340307634,0.7293842275837235,40.51,0.78,55.53,3.19
73461,MURILLO,Tolima,2,Perfil quirúrgico medio,120511.0,7671.0,52.76,5.081026690240895,0.6820284392667467,39.81,0.96,58.36,0.87
73483,NATAGAIMA,Tolima,2,Perfil quirúrgico medio,296311.0,13175.0,42.46,5.471747774161883,0.6328694499668656,38.2,0.82,60.35,0.63
73504,ORTEGA,Tolima,1,Alta carga NO DEFINIDO,575029.0,19080.0,36.82,5.759689747685082,0.4838856105310939,31.98,1.01,66.08,0.93
73520,PALOCABILDO,Tolima,2,Perfil quirúrgico medio,373922.0,14989.0,48.65,5.572781017969207,0.7106316338959457,40.84,0.87,57.46,0.83
73547,PIEDRAS,Tolima,4,Perfil quirúrgico con buen registro,167694.0,10808.0,24.98,5.2245175240640025,0.4758909853249476,31.78,0.63,66.77,0.82
73555,PLANADAS,Tolima,2,Perfil quirúrgico medio,641394.0,18517.0,35.38,5.807124892949641,0.5843276362463722,36.24,1.03,62.01,0.72
73563,PRADO,Tolima,1,Alta carga NO DEFINIDO,355065.0,14636.0,48.58,5.550307864484055,0.3445239405613648,25.04,0.7,72.67,1.59
73585,PURIFICACION,Tolima,5,Alta demanda de urgencias,985741.0,32166.0,40.76,5.993762820573381,0.4793271498192108,30.49,0.93,63.6,4.99
